Country_from,City_from,Lat_from,Long_from,Country_to,City_to,Lat_to,Long_to,Distance_km,Distance_mi
Greece,Athens,37.9838,23.7275,Portugal,Lisbon,38.7169,-9.1399,4578,2844.64
Portugal,Lisbon,38.7169,-9.1399,Greece,Athens,37.9838,23.7275,4578,2844.64
Greece,Athens,37.9838,23.7275,Spain,Madrid,40.4168,-3.7038,3940,2448.20
Spain,Madrid,40.4168,-3.7038,Greece,Athens,37.9838,23.7275,3940,2448.20
Greece,Athens,37.9838,23.7275,United Kingdom,Edinburgh,55.9533,-3.1883,3768,2341.33
United Kingdom,Edinburgh,55.9533,-3.1883,Greece,Athens,37.9838,23.7275,3768,2341.33
France,Le Havre,49.4944,0.1079,Greece,Athens,37.9838,23.7275,3494,2171.07
Greece,Athens,37.9838,23.7275,France,Le Havre,49.4944,0.1079,3494,2171.07
Denmark,Copenhagen,55.6761,12.5683,Greece,Athens,37.9838,23.7275,3414,2121.36
Greece,Athens,37.9838,23.7275,Denmark,Copenhagen,55.6761,12.5683,3414,2121.36
Greece,Athens,37.9838,23.7275,Spain,Barcelona,41.3851,2.1734,3312,2057.98
Spain,Barcelona,41.3851,2.1734,Greece,Athens,37.9838,23.7275,3312,2057.98
Austria,Vienna,48.2082,16.3738,Portugal,Lisbon,38.7169,-9.1399,3255,2022.56
Portugal,Lisbon,38.7169,-9.1399,Austria,Vienna,48.2082,16.3738,3255,2022.56
Germany,Berlin,52.52,13.405,Portugal,Lisbon,38.7169,-9.1399,3165,1966.64
Portugal,Lisbon,38.7169,-9.1399,Germany,Berlin,52.52,13.405,3165,1966.64
France,Paris,48.8566,2.3522,Greece,Athens,37.9838,23.7275,3140,1951.10
Greece,Athens,37.9838,23.7275,France,Paris,48.8566,2.3522,3140,1951.10
Denmark,Copenhagen,55.6761,12.5683,Portugal,Lisbon,38.7169,-9.1399,3115,1935.57
Portugal,Lisbon,38.7169,-9.1399,Denmark,Copenhagen,55.6761,12.5683,3115,1935.57
Greece,Athens,37.9838,23.7275,United Kingdom,London,51.5074,-0.1278,3099,1925.63
United Kingdom,London,51.5074,-0.1278,Greece,Athens,37.9838,23.7275,3099,1925.63
Greece,Athens,37.9838,23.7275,Netherlands,Amsterdam,52.3676,4.9041,3082,1915.07
Netherlands,Amsterdam,52.3676,4.9041,Greece,Athens,37.9838,23.7275,3082,1915.07
Greece,Athens,37.9838,23.7275,Netherlands,The Hague,52.0705,4.3007,3061,1902.02
Netherlands,The Hague,52.0705,4.3007,Greece,Athens,37.9838,23.7275,3061,1902.02
Belgium,Brussels,50.8503,4.3517,Greece,Athens,37.9838,23.7275,3021,1877.16
Greece,Athens,37.9838,23.7275,Belgium,Brussels,50.8503,4.3517,3021,1877.16
France,Marseille,43.2965,5.3698,Greece,Athens,37.9838,23.7275,2997,1862.25
Greece,Athens,37.9838,23.7275,France,Marseille,43.2965,5.3698,2997,1862.25
France,Calais,50.9513,1.8587,Greece,Athens,37.9838,23.7275,2976,1849.20
Greece,Athens,37.9838,23.7275,France,Calais,50.9513,1.8587,2976,1849.20
Italy,Naples,40.8518,14.2681,Portugal,Lisbon,38.7169,-9.1399,2970,1845.47
Portugal,Lisbon,38.7169,-9.1399,Italy,Naples,40.8518,14.2681,2970,1845.47
Czech Republic,Prague,50.0755,14.4378,Portugal,Lisbon,38.7169,-9.1399,2945,1829.94
Portugal,Lisbon,38.7169,-9.1399,Czech Republic,Prague,50.0755,14.4378,2945,1829.94
Portugal,Lisbon,38.7169,-9.1399,United Kingdom,Edinburgh,55.9533,-3.1883,2879,1788.93
United Kingdom,Edinburgh,55.9533,-3.1883,Portugal,Lisbon,38.7169,-9.1399,2879,1788.93
Greece,Athens,37.9838,23.7275,Netherlands,Rotterdam,51.9225,4.4792,2826,1755.99
Netherlands,Rotterdam,51.9225,4.4792,Greece,Athens,37.9838,23.7275,2826,1755.99
Greece,Athens,37.9838,23.7275,Italy,Naples,40.8518,14.2681,2784,1729.90
Italy,Naples,40.8518,14.2681,Greece,Athens,37.9838,23.7275,2784,1729.90
France,Lyon,45.764,4.8357,Greece,Athens,37.9838,23.7275,2774,1723.68
Greece,Athens,37.9838,23.7275,France,Lyon,45.764,4.8357,2774,1723.68
Belgium,Antwerp,51.2194,4.4025,Greece,Athens,37.9838,23.7275,2766,1718.71
